id,transect,soil,oversample,notes,2022_treat,treatment,2023_treat,subarea
"5",t5,"203",no,originally named: control-01,control,control,control,control
"6",t6,"203",no,originally named: control-02,control,control,control,control
"7",t7,"203",no,originally named: control-03,control,control,control,control
"2",t2,"203",no,originally named: disturbance-02,before,solar facility,,B
"3",t3,"203",no,originally named: disturbance-03,before,solar facility,,B
"4",t4,"203",no,originally named: disturbance-04,before,solar facility,,B
"8",t8,"185",no,,before,solar facility,,C
"9",t9,"185",no,,before,solar facility,,C
"17",t17,"203",no,,before,solar facility,,C
"18",t18,"185",no,,before,solar facility,,C
"19",t19,"185",no,,before,solar facility,,C
"20",t20,"185",no,,before,solar facility,,C
"22",t22,"185",no,,before,solar facility,,C
"21",t21,"185",no,,before,solar facility,,C
"13",t13,"203",no,,before,solar facility,,B
"23",t23,"185",no,,before,solar facility,,C
"40",t40,"185",no,,before,solar facility,,C
"55",t55,"185",no,,before,solar facility,,C
"14",t14,"203",no,,before,solar facility,,B
"53",t53,"185",no,,before,solar facility,,C
"54",t54,"185",no,,before,solar facility,,C
"34",t34,"203",no,,before,solar facility,,B
"57",t57,"185",no,,before,solar facility,,C
"39",t39,"185",no,,before,solar facility,,C
"56",t56,"185",no,,before,solar facility,,C
"38",t38,"185",no,,before,solar facility,,C
"41",t41,"185",no,,before,solar facility,,C
"63",t63,"185",no,,before,solar facility,,C
"64",t64,"185",no,,before,solar facility,,C
"61",t61,"185",no,,before,solar facility,,C
"60",t60,"203",yes,,before,solar facility,,C
"59",t59,"203",yes,,before,solar facility,,C
"62",t62,"185",yes,,before,solar facility,,C
,,,yes,,,,,
"36",t36,"203",yes,,before,solar facility,,B
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
"37",t37,"203",yes,,before,solar facility,,B
,,,yes,,reject,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
"35",t35,"203",yes,,before,solar facility,,B
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
"33",t33,"203",yes,,before,solar facility,,B
,,,yes,,,,,
,,,yes,,,,,
"58",t58,"203",yes,,before,solar facility,,C
"32",t32,"203",yes,,before,solar facility,,B
,,,yes,,,,,
,,,yes,,,,,
"11",t11,"203",no,,control,control,control,control
"24",t24,"203",no,,control,control,control,control
"25",t25,"203",no,,control,control,control,control
"12",t12,"203",no,,control,control,control,control
,,,no,,reject,,,
"27",t27,"203",no,,control,control,control,control
"26",t26,"203",no,,control,control,control,control
"29",t29,"203",no,,control,control,control,control
"28",t28,"203",no,,control,control,control,control
"30",t30,"203",no,,control,control,control,control
"31",t31,"203",no,,control,control,control,control
"65",t65,"203",no,,control,control,control,control
"66",t66,"203",yes,,control,control,control,control
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
"10",t10,"185",no,,control,control,,control
"50",t50,"185",no,,control,control,,control
"51",t51,"185",no,,control,control,,control
"47",t47,"185",no,,control,control,,control
"43",t43,"185",no,,control,control,,control
"42",t42,"185",no,,control,control,,control
"68",t68,"185",no,,control,control,,control
"67",t67,"185",no,,control,control,,control
"44",t44,"185",no,,control,control,,control
"48",t48,"185",no,,control,control,,control
"69",t69,"185",no,,control,control,,control
"71",t71,"185",no,,control,control,,control
"45",t45,"185",no,,control,control,,control
"49",t49,"185",no,,control,control,,control
"52",t52,"185",no,,control,control,,control
"70",t70,"185",yes,,control,control,,control
"46",t46,"185",yes,,control,control,,control
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
"1",t1,"185",no,originally named: d-03,before,solar facility,,C
"72",t72,"203",no,originally AIM random sample,during,solar facility,after,B
"15",t15,"203",no,originally AIM random sample,during,solar facility,after,A
"16",t16,"203",no,originally AIM random sample,during,solar facility,after,A
"73",t73,"203",no,,,solar facility,after,B
"74",t74,"203",no,,,solar facility,after,B
"75",t75,"203",no,,,solar facility,after,B
"76",t76,"203",no,,,solar facility,after,B
"77",t77,"203",no,,,solar facility,after,A
"78",t78,"203",no,,,solar facility,after,A
"79",t79,"203",no,,,solar facility,after,A
"80",t80,"203",no,,,solar facility,after,A
"81",t81,"203",no,,,solar facility,after,A
"82",t82,"203",no,,,solar facility,after,A
"83",t83,"203",no,,,solar facility,after,A
"84",t84,"203",no,,,solar facility,after,A
"85",t85,"203",no,,,natural disturbance,slide,reference
"86",t86,"203",no,,,natural disturbance,slide,reference
"87",t87,"203",no,,,natural disturbance,slide,reference
"88",t88,"203",no,,,natural disturbance,slide,reference
"89",t89,"203",no,,,natural disturbance,slide,reference
"90",t90,"203",no,,,natural disturbance,slide,reference
"91",t91,"203",no,,,natural disturbance,slide,reference
"92",t92,"203",no,,,natural disturbance,slide,reference
"93",t93,"203",no,,,natural disturbance,slide,reference
"94",t94,"203",no,,,natural disturbance,slide,reference
"95",t95,"203",no,,,natural disturbance,slide,reference
"96",t96,"203",no,,,natural disturbance,slide,reference
"97",t97,"203",no,,,natural disturbance,slide,reference
"98",t98,"203",no,,,natural disturbance,slide,reference
"99",t99,"203",no,,,natural disturbance,slide,reference
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
,,,no,,,,reject,
